,Source,Location,Latitude,Longitude,Speed_Max,Date,Description,Speed,Tempo,Distance,Duration,Start,Ascent,Descent,Elevation_Gain,Elevation_Max,Calories,Km_1,Km_2,Km_3,Km_4,Km_5,Km_6,Km_7,Km_8,Km_9,Km_10,Km_11,Km_12,Km_13,Km_14,Km_15,Km_16,Km_17,Km_18,Km_19
21,Nike+ 2.10.6  ,"Montréal, Canada",45.502247000000004,-73.57809,3.740000000000001,2012-02-04,Running 6.08 km in 38:10 min (6:16 min/km),2.65634653696233,06:16,6.082837,38.16543333333333,18:09:17,347.93426899999986,361.7549990000001,316.0,201.0,478.0,"Duration=6.417, Speed=2.6","Duration=6.0, Speed=2.78","Duration=6.083, Speed=2.74","Duration=6.283, Speed=2.65","Duration=6.067, Speed=2.75","Duration=6.017, Speed=2.77","Duration=1.217, Speed=2.13",,,,,,,,,,,,
22,Nike+ 2.10.6  ,"Montréal, Canada",45.51455299999999,-73.584854,4.540000000000001,2012-02-04,Running 2.34 km in 10:45 min (4:35 min/km),3.62992097890599,04:35,2.3399849999999995,10.743966666666667,19:11:36,252.21034599999996,188.23692599999995,249.0,148.0,190.0,"Duration=4.733, Speed=3.52","Duration=4.533, Speed=3.68","Duration=1.5, Speed=3.73",,,,,,,,,,,,,,,,
23,Nike+ 2.10.6  ,indoor,45.50264400000001,-73.57779000000001,0.0,2012-02-09,Running 3.02 km in 17:07 min (5:40 min/km),2.939104738525989,05:40,3.019598,17.123116666666665,23:05:46,7.358179000000014,55.328605,4.0,104.0,241.0,"Duration=16.717, Speed=0.49",,,,,,,,,,,,,,,,,,
24,Nike+ 2.10.6  ,indoor,45.50264400000001,-73.57779000000001,6.62,2012-02-11,Running 10.22 km in 58:25 min (5:43 min/km),2.915105129032433,05:43,10.21849,58.42265,18:02:32,0.0,0.0,0.0,0.0,808.0,,,,,,,,,,,,,,,,,,,
25,Nike+ 2.10.6  ,"Montréal, Canada",45.502335,-73.577774,6.980000000000001,2012-02-25,Running 6.06 km in 37:04 min (6:07 min/km),2.724794911198269,06:07,6.058714999999999,37.05915,20:37:24,302.10475599999967,318.11884299999997,261.0,94.0,473.0,"Duration=6.45, Speed=2.58","Duration=6.233, Speed=2.67","Duration=6.183, Speed=2.7","Duration=6.45, Speed=2.58","Duration=4.967, Speed=3.36","Duration=6.3, Speed=2.65","Duration=0.5, Speed=2.48",,,,,,,,,,,,
26,Nike+ 2.10.6  ,indoor,45.502415,-73.57791999999999,5.77,2012-02-26,Running 10.05 km in 1:01:10 hr (6:05 min/km),2.738206461811847,06:05,10.049789999999998,61.17015,22:00:54,440.27669399999996,450.02225700000054,404.0,213.0,788.0,"Duration=4.783, Speed=3.48","Duration=6.533, Speed=2.55","Duration=6.267, Speed=2.66","Duration=6.183, Speed=2.7","Duration=6.25, Speed=2.67","Duration=6.05, Speed=2.75","Duration=6.4, Speed=2.6","Duration=6.4, Speed=2.6","Duration=5.967, Speed=2.79","Duration=5.567, Speed=2.99","Duration=0.7, Speed=2.28",,,,,,,,
27,Nike+ 2.10.6  ,"Montréal, Canada",45.502834,-73.57820999999998,6.430000000000001,2012-03-04,Running 12.41 km in 1:13:02 hr (5:53 min/km),2.831093600906863,06:05,12.0,73.02831666666665,16:30:26,545.4377199999991,520.3624059999999,483.0,218.0,983.0,"Duration=5.967, Speed=2.79","Duration=6.167, Speed=2.7","Duration=6.1, Speed=2.73","Duration=6.367, Speed=2.62","Duration=5.967, Speed=2.79","Duration=4.167, Speed=4","Duration=5.767, Speed=2.89","Duration=5.7, Speed=2.92","Duration=5.9, Speed=2.82","Duration=6.3, Speed=2.65","Duration=5.9, Speed=2.82","Duration=5.833, Speed=2.86","Duration=2.817, Speed=2.94",,,,,,
28,Nike+ 2.10.6  ,indoor,45.502728,-73.578,10.52,2012-03-12,Running 16.30 km in 1:57:15 hr (7:12 min/km),2.316998529119957,07:11,16.30065,117.25406666666666,18:28:34,565.1191468130002,579.0971748129997,485.0,79.0,1345.0,"Duration=6.45, Speed=2.58","Duration=5.283, Speed=3.15","Duration=7.017, Speed=2.38","Duration=9.1, Speed=1.83","Duration=7.283, Speed=2.29","Duration=7.65, Speed=2.18","Duration=7.0, Speed=2.38","Duration=7.1, Speed=2.35","Duration=8.2, Speed=2.03","Duration=4.467, Speed=3.73","Duration=1.0, Speed=16.67","Duration=6.917, Speed=2.41","Duration=6.65, Speed=2.51","Duration=7.0, Speed=2.38","Duration=7.017, Speed=2.38","Duration=5.45, Speed=3.06","Duration=5.467, Speed=3.05","Duration=6.55, Speed=2.54","Duration=1.55, Speed=5.45"
29,Nike+ 2.10.6  ,"Montréal, Canada",45.50287,-73.57770500000001,9.55,2012-03-17,Running 14.68 km in 1:56:40 hr (7:57 min/km),2.097798762488719,07:56,14.684626999999997,116.66695,18:42:48,558.5752743999994,600.3330144000007,501.0,143.0,1218.0,"Duration=7.4, Speed=2.25","Duration=8.083, Speed=2.06","Duration=8.883, Speed=1.88","Duration=8.2, Speed=2.03","Duration=9.867, Speed=1.69","Duration=10.783, Speed=1.55","Duration=7.517, Speed=2.22","Duration=12.817, Speed=1.3","Duration=7.733, Speed=2.16","Duration=1.917, Speed=8.7","Duration=6.617, Speed=2.52","Duration=3.367, Speed=4.95","Duration=5.167, Speed=3.23","Duration=7.983, Speed=2.09","Duration=10.217, Speed=1.52",,,,
30,Nike+ 2.10.6  ,indoor,45.50287,-73.57770500000001,3.077427777777778,2012-03-31,Running 8.13 km in 47:02 min (5:47 min/km),2.879288544720927,05:47,8.125001,47.0313,15:27:00,0.0,0.0,0.0,0.0,645.0,,,,,,,,,,,,,,,,,,,
